ID,Event
116240628235930,Tiger
116240629000010,Tiger
116240629000055,Dragon
116240629000137,Dragon
116240629000219,Tiger
116240629000301,Dragon
116240629000344,Tiger
116240629000424,Dragon
116240629000505,Dragon
116240629000547,Dragon
116240629000715,Tiger
116240629000756,Tiger
116240629000835,Dragon
116240629000916,Tiger
116240629000951,Tiger
116240629001029,Tiger
116240629001109,Dragon
116240629001149,Dragon
116240629001231,Tiger
116240629001310,Dragon
116240629001352,Dragon
116240629001433,Tiger
116240629001515,Tiger
116240629001558,Dragon
116240629001634,Dragon
116240629001716,Tiger
116240629001755,Tiger
116240629001834,Tiger
116240629001914,Dragon
116240629001952,Dragon
116240629002030,Dragon
116240629002110,Tiger
116240629002148,Dragon
116240629002229,Dragon
116240629002307,Tiger
116240629002346,Tiger
116240629002424,Dragon
116240629002512,Tiger
116240629002613,Tiger
116240629002703,Dragon
116240629002801,Dragon
116240629002949,Tiger
116240629003040,Tiger
116240629003131,Tiger
116240629003222,Tiger
116240629003314,Dragon
116240629003405,Dragon
116240629003500,Dragon
116240629003555,Dragon
116240629003649,Dragon
116240629003743,Tiger
116240629003835,Tiger
116240629003929,Tiger
116240629004023,Dragon
116240629004117,Tiger
116240629004209,Tiger
116240629004300,Tiger
116240629004351,Tiger
116240629004442,Dragon
116240629004535,Dragon
116240629004628,Dragon
116240629004724,Dragon
116240629004816,Dragon
116240629004909,Tiger
116240629005000,Dragon
116240629005055,Tiger
116240629005149,Tiger
116240629005241,Tiger
116240629005334,Dragon
116240629005426,Dragon
116240629005528,Dragon
116240629005627,Tiger
116240629005731,Dragon
116240629005937,Dragon
116240629010036,Dragon
116240629010142,Tiger
116240629010245,Tiger
116240629010346,Dragon
116240629010444,Dragon
116240629010545,Tiger
116240629010642,Dragon
116240629010742,Tiger
116240629010841,Tiger
116240629010942,Tiger
116240629011040,Dragon
116240629011137,Dragon
116240629011237,Dragon
116240629011338,Tiger
116240629011436,Tiger
116240629011535,Tiger
116240629011636,Tiger
116240629011734,Dragon
116240629011833,Dragon
116240629011934,Tiger
116240629012039,Dragon
116240629012139,Dragon
116240629012236,Tiger
116240629012338,Tiger
116240629012438,Dragon
116240629012535,Tiger
116240629012633,Tiger
116240629012730,Tiger
116240629012827,Dragon
116240629012918,Tie
116240629013007,Tiger
116240629013056,Dragon
116240629013150,Dragon
116240629013328,Tiger
116240629013418,Dragon
116240629013506,Tiger
116240629013555,Tiger
116240629013642,Tiger
116240629013731,Tiger
116240629013819,Tiger
116240629013908,Dragon
116240629013954,Tiger
116240629014042,Tiger
116240629014130,Tiger
116240629014216,Dragon
116240629014302,Dragon
116240629014350,Tiger
116240629014437,Tiger
116240629014525,Tiger
116240629014610,Dragon
116240629014657,Dragon
116240629014743,Dragon
116240629014830,Tiger
116240629014916,Dragon
116240629015002,Dragon
116240629015048,Dragon
116240629015134,Tiger
116240629015219,Tiger
116240629015309,Tiger
116240629015356,Dragon
116240629015442,Tiger
116240629015529,Tiger
116240629015617,Dragon
116240629015727,Tiger
116240629015836,Tiger
116240629015922,Dragon
116240629020009,Dragon
116240629020054,Dragon
116240629020143,Dragon
116240629020230,Dragon
116240629020319,Dragon
116240629020404,Tiger
116240629020450,Dragon
116240629020537,Dragon
116240629020628,Dragon
116240629020713,Tiger
116240629020945,Dragon
116240629021030,Tiger
116240629021118,Dragon
116240629021203,Tiger
116240629021249,Dragon
116240629021335,Tiger
116240629021423,Dragon
116240629021507,Tiger
116240629021555,Dragon
116240629021646,Dragon
116240629021732,Tiger
116240629021816,Tiger
116240629021904,Tiger
116240629021949,Tiger
116240629022038,Dragon
116240629022125,Tiger
116240629022208,Tiger
116240629022252,Dragon
116240629022337,Dragon
116240629022423,Tiger
116240629022508,Tiger
116240629022554,Dragon
116240629022639,Dragon
116240629022732,Dragon
116240629022856,Tiger
116240629022947,Dragon
116240629023032,Tiger
116240629023112,Tiger
116240629023155,Dragon
116240629023234,Dragon
116240629023316,Tiger
116240629023352,Tiger
116240629023430,Tiger
116240629023507,Tiger
116240629023544,Dragon
116240629023622,Tiger
116240629023658,Tiger
116240629023740,Tiger
116240629023819,Dragon
116240629023855,Tiger
116240629023932,Tiger
116240629024008,Dragon
116240629024048,Dragon
116240629024128,Tiger
116240629024208,Tiger
116240629024245,Dragon
116240629024324,Tiger
116240629024359,Dragon
116240629024435,Tiger
116240629024511,Tiger
116240629024548,Dragon
116240629024626,Dragon
116240629024703,Tiger
116240629024739,Dragon
116240629024830,Tiger
116240629024906,Dragon
116240629024943,Tiger
116240629025022,Tiger
116240629025104,Dragon
116240629025144,Dragon
116240629025222,Tiger
116240629025300,Tiger
116240629025336,Dragon
116240629025414,Dragon
116240629025453,Dragon
116240629025531,Tiger
116240629025606,Dragon
116240629025650,Dragon
116240629025753,Tiger
116240629025848,Tiger
116240629025944,Tiger
116240629030043,Dragon
116240629030136,Tiger
116240629030228,Tiger
116240629030323,Tiger
116240629030419,Tie
116240629030515,Dragon
116240629030614,Tiger
116240629030709,Tiger
116240629030803,Tiger
116240629030900,Tiger
116240629030956,Tiger
116240629031051,Tiger
116240629031144,Dragon
116240629031242,Tiger
116240629031340,Tiger
116240629031445,Dragon
116240629031645,Dragon
116240629031744,Dragon
116240629031843,Dragon
116240629031943,Tiger
116240629032040,Dragon
116240629032135,Dragon
116240629032234,Dragon
116240629032332,Tiger
116240629032428,Tiger
116240629032519,Dragon
116240629032619,Tiger
116240629032714,Dragon
116240629032811,Tiger
116240629032908,Tiger
116240629033009,Tiger
116240629033103,Dragon
116240629033201,Dragon
116240629033259,Dragon
116240629033355,Dragon
116240629033453,Tiger
116240629033553,Tiger
116240629033651,Dragon
116240629033746,Tiger
116240629033846,Tiger
116240629033943,Tiger
116240629034043,Tiger
116240629034142,Dragon
116240629034240,Tiger
116240629034336,Dragon
116240629034434,Dragon
116240629034536,Dragon
116240629034715,Dragon
116240629034816,Tiger
116240629034917,Dragon
116240629035015,Tie
116240629035114,Tiger
116240629035216,Dragon
116240629035315,Tiger
116240629035441,Dragon
116240629035540,Dragon
116240629035641,Tiger
116240629035739,Dragon
116240629035837,Dragon
116240629035940,Tiger
116240629040041,Tiger
116240629040139,Tiger
116240629040237,Dragon
116240629040341,Tiger
116240629040440,Tiger
116240629040540,Tiger
116240629040641,Tiger
116240629040744,Tiger
116240629040845,Dragon
116240629040952,Tiger
116240629041052,Tiger
116240629041153,Dragon
116240629041254,Tiger
116240629041354,Tiger
116240629041455,Tiger
116240629041556,Tiger
116240629041659,Tiger
116240629041758,Tiger
116240629041856,Tiger
116240629042000,Tiger
116240629042241,Tiger
116240629042339,Dragon
116240629042436,Tiger
116240629042534,Dragon
116240629042632,Dragon
116240629042728,Tiger
116240629042812,Tiger
116240629042857,Dragon
116240629042944,Tiger
116240629043033,Dragon
116240629043121,Tiger
116240629043209,Tiger
116240629043253,Tiger
116240629043337,Dragon
116240629043422,Tiger
116240629043507,Tiger
116240629043552,Dragon
116240629043638,Tiger
116240629043723,Dragon
116240629043808,Dragon
116240629043851,Dragon
116240629043934,Dragon
116240629044018,Tiger
116240629044102,Dragon
116240629044146,Tiger
116240629044232,Tiger
116240629044315,Tiger
116240629044358,Tiger
116240629044449,Dragon
116240629044554,Tiger
116240629044641,Dragon
116240629044725,Dragon
116240629044808,Dragon
116240629044853,Dragon
116240629044940,Dragon
116240629045024,Dragon
116240629045110,Dragon
116240629045154,Tiger
116240629045238,Tiger
116240629045324,Dragon
116240629045409,Dragon
116240629045456,Dragon
116240629045540,Tiger
116240629045626,Dragon
116240629045712,Dragon
116240629045759,Dragon
116240629045849,Tiger
116240629045937,Tiger
116240629050028,Dragon
116240629050118,Dragon
116240629050209,Dragon
116240629050256,Dragon
116240629050343,Tiger
116240629050430,Dragon
116240629050516,Tiger
116240629050603,Dragon
116240629050653,Tiger
116240629050742,Tiger
116240629050830,Dragon
116240629050918,Dragon
116240629051006,Dragon
116240629051058,Dragon
116240629051249,Tiger
116240629051336,Dragon
116240629051427,Dragon
116240629051514,Dragon
116240629051600,Tie
116240629051650,Dragon
116240629051737,Dragon
116240629051823,Tiger
116240629051910,Dragon
116240629051957,Dragon
116240629052043,Tiger
116240629052130,Dragon
116240629052217,Dragon
116240629052304,Tiger
116240629052352,Dragon
116240629052440,Tiger
116240629052526,Tiger
116240629052605,Tiger
